,symboling,make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price,gruped_num_of_cylinders,grouped_bodystyle
12,0,bmw,gas,std,two,sedan,rwd,front,10120,17680,6480,5430,2710,ohc,six,164,mpfi,3.31,3.19,900,121.0,4250.0,21,28,20970.0,five_six,sedan
13,0,bmw,gas,std,four,sedan,rwd,front,10120,17680,6480,5430,2765,ohc,six,164,mpfi,3.31,3.19,900,121.0,4250.0,21,28,21105.0,five_six,sedan
14,1,bmw,gas,std,four,sedan,rwd,front,10350,18900,6690,5570,3055,ohc,six,164,mpfi,3.31,3.19,900,121.0,4250.0,20,25,24565.0,five_six,sedan
15,0,bmw,gas,std,four,sedan,rwd,front,10350,18900,6690,5570,3230,ohc,six,209,mpfi,3.62,3.39,800,182.0,5400.0,16,22,30760.0,five_six,sedan
18,2,chevrolet,gas,std,two,hatchback,fwd,front,8840,14110,6030,5320,1488,l,three,61,2bbl,2.91,3.03,950,48.0,5100.0,47,53,5151.0,three_four,hatchback
19,1,chevrolet,gas,std,two,hatchback,fwd,front,9450,15590,6360,5200,1874,ohc,four,90,2bbl,3.03,3.11,960,70.0,5400.0,38,43,6295.0,three_four,hatchback
20,0,chevrolet,gas,std,four,sedan,fwd,front,9450,15880,6360,5200,1909,ohc,four,90,2bbl,3.03,3.11,960,70.0,5400.0,38,43,6575.0,three_four,sedan
21,1,dodge,gas,std,two,hatchback,fwd,front,9370,15730,6380,5080,1876,ohc,four,90,2bbl,2.97,3.23,941,68.0,5500.0,37,41,5572.0,three_four,hatchback
22,1,dodge,gas,std,two,hatchback,fwd,front,9370,15730,6380,5080,1876,ohc,four,90,2bbl,2.97,3.23,940,68.0,5500.0,31,38,6377.0,three_four,hatchback
23,1,dodge,gas,turbo,two,hatchback,fwd,front,9370,15730,6380,5080,2128,ohc,four,98,mpfi,3.03,3.39,760,102.0,5500.0,24,30,7957.0,three_four,hatchback
24,1,dodge,gas,std,four,hatchback,fwd,front,9370,15730,6380,5060,1967,ohc,four,90,2bbl,2.97,3.23,940,68.0,5500.0,31,38,6229.0,three_four,hatchback
25,1,dodge,gas,std,four,sedan,fwd,front,9370,15730,6380,5060,1989,ohc,four,90,2bbl,2.97,3.23,940,68.0,5500.0,31,38,6692.0,three_four,sedan
26,1,dodge,gas,std,four,sedan,fwd,front,9370,15730,6380,5060,1989,ohc,four,90,2bbl,2.97,3.23,940,68.0,5500.0,31,38,7609.0,three_four,sedan
28,-1,dodge,gas,std,four,wagon,fwd,front,10330,17460,6460,5980,2535,ohc,four,122,2bbl,3.34,3.46,850,88.0,5000.0,24,30,8921.0,three_four,wagon
29,3,dodge,gas,turbo,two,hatchback,fwd,front,9590,17320,6630,5020,2811,ohc,four,156,mfi,3.6,3.9,700,145.0,5000.0,19,24,12964.0,three_four,hatchback
30,2,honda,gas,std,two,hatchback,fwd,front,8660,14460,6390,5080,1713,ohc,four,92,1bbl,2.91,3.41,960,58.0,4800.0,49,54,6479.0,three_four,hatchback
31,2,honda,gas,std,two,hatchback,fwd,front,8660,14460,6390,5080,1819,ohc,four,92,1bbl,2.91,3.41,920,76.0,6000.0,31,38,6855.0,three_four,hatchback
32,1,honda,gas,std,two,hatchback,fwd,front,9370,15000,6400,5260,1837,ohc,four,79,1bbl,2.91,3.07,1010,60.0,5500.0,38,42,5399.0,three_four,hatchback
33,1,honda,gas,std,two,hatchback,fwd,front,9370,15000,6400,5260,1940,ohc,four,92,1bbl,2.91,3.41,920,76.0,6000.0,30,34,6529.0,three_four,hatchback
34,1,honda,gas,std,two,hatchback,fwd,front,9370,15000,6400,5260,1956,ohc,four,92,1bbl,2.91,3.41,920,76.0,6000.0,30,34,7129.0,three_four,hatchback
35,0,honda,gas,std,four,sedan,fwd,front,9650,16340,6400,5450,2010,ohc,four,92,1bbl,2.91,3.41,920,76.0,6000.0,30,34,7295.0,three_four,sedan
36,0,honda,gas,std,four,wagon,fwd,front,9650,15710,6390,5830,2024,ohc,four,92,1bbl,2.92,3.41,920,76.0,6000.0,30,34,7295.0,three_four,wagon
37,0,honda,gas,std,two,hatchback,fwd,front,9650,16750,6520,5330,2236,ohc,four,110,1bbl,3.15,3.58,900,86.0,5800.0,27,33,7895.0,three_four,hatchback
38,0,honda,gas,std,two,hatchback,fwd,front,9650,16750,6520,5330,2289,ohc,four,110,1bbl,3.15,3.58,900,86.0,5800.0,27,33,9095.0,three_four,hatchback
39,0,honda,gas,std,four,sedan,fwd,front,9650,17540,6520,5410,2304,ohc,four,110,1bbl,3.15,3.58,900,86.0,5800.0,27,33,8845.0,three_four,sedan
40,0,honda,gas,std,four,sedan,fwd,front,9650,17540,6250,5410,2372,ohc,four,110,1bbl,3.15,3.58,900,86.0,5800.0,27,33,10295.0,three_four,sedan
41,0,honda,gas,std,four,sedan,fwd,front,9650,17540,6520,5410,2465,ohc,four,110,mpfi,3.15,3.58,900,101.0,5800.0,24,28,12945.0,three_four,sedan
42,1,honda,gas,std,two,sedan,fwd,front,9650,16910,6600,5100,2293,ohc,four,110,2bbl,3.15,3.58,910,100.0,5500.0,25,31,10345.0,three_four,sedan
43,0,isuzu,gas,std,four,sedan,rwd,front,9430,17070,6180,5350,2337,ohc,four,111,2bbl,3.31,3.23,850,78.0,4800.0,24,29,6785.0,three_four,sedan
46,2,isuzu,gas,std,two,hatchback,rwd,front,9600,17260,6520,5140,2734,ohc,four,119,spfi,3.43,3.23,920,90.0,5000.0,24,29,11048.0,three_four,hatchback
50,1,mazda,gas,std,two,hatchback,fwd,front,9310,15910,6420,5410,1890,ohc,four,91,2bbl,3.03,3.15,900,68.0,5000.0,30,31,5195.0,three_four,hatchback
51,1,mazda,gas,std,two,hatchback,fwd,front,9310,15910,6420,5410,1900,ohc,four,91,2bbl,3.03,3.15,900,68.0,5000.0,31,38,6095.0,three_four,hatchback
52,1,mazda,gas,std,two,hatchback,fwd,front,9310,15910,6420,5410,1905,ohc,four,91,2bbl,3.03,3.15,900,68.0,5000.0,31,38,6795.0,three_four,hatchback
53,1,mazda,gas,std,four,sedan,fwd,front,9310,16680,6420,5410,1945,ohc,four,91,2bbl,3.03,3.15,900,68.0,5000.0,31,38,6695.0,three_four,sedan
54,1,mazda,gas,std,four,sedan,fwd,front,9310,16680,6420,5410,1950,ohc,four,91,2bbl,3.08,3.15,900,68.0,5000.0,31,38,7395.0,three_four,sedan
59,1,mazda,gas,std,two,hatchback,fwd,front,9880,17780,6650,5370,2385,ohc,four,122,2bbl,3.39,3.39,860,84.0,4800.0,26,32,8845.0,three_four,hatchback
60,0,mazda,gas,std,four,sedan,fwd,front,9880,17780,6650,5550,2410,ohc,four,122,2bbl,3.39,3.39,860,84.0,4800.0,26,32,8495.0,three_four,sedan
61,1,mazda,gas,std,two,hatchback,fwd,front,9880,17780,6650,5370,2385,ohc,four,122,2bbl,3.39,3.39,860,84.0,4800.0,26,32,10595.0,three_four,hatchback
62,0,mazda,gas,std,four,sedan,fwd,front,9880,17780,6650,5550,2410,ohc,four,122,2bbl,3.39,3.39,860,84.0,4800.0,26,32,10245.0,three_four,sedan
64,0,mazda,gas,std,four,hatchback,fwd,front,9880,17780,6650,5550,2425,ohc,four,122,2bbl,3.39,3.39,860,84.0,4800.0,26,32,11245.0,three_four,hatchback
65,0,mazda,gas,std,four,sedan,rwd,front,10490,17500,6610,5440,2670,ohc,four,140,mpfi,3.76,3.16,800,120.0,5000.0,19,27,18280.0,three_four,sedan
66,0,mazda,diesel,std,four,sedan,rwd,front,10490,17500,6610,5440,2700,ohc,four,134,idi,3.43,3.64,2200,72.0,4200.0,31,39,18344.0,three_four,sedan
67,-1,mercedes-benz,diesel,turbo,four,sedan,rwd,front,11000,19090,7030,5650,3515,ohc,five,183,idi,3.58,3.64,2150,123.0,4350.0,22,25,25552.0,five_six,sedan
68,-1,mercedes-benz,diesel,turbo,four,wagon,rwd,front,11000,19090,7030,5870,3750,ohc,five,183,idi,3.58,3.64,2150,123.0,4350.0,22,25,28248.0,five_six,wagon
69,0,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,10670,18750,7030,5490,3495,ohc,five,183,idi,3.58,3.64,2150,123.0,4350.0,22,25,28176.0,five_six,hardtop_convert
70,-1,mercedes-benz,diesel,turbo,four,sedan,rwd,front,11560,20260,7170,5630,3770,ohc,five,183,idi,3.58,3.64,2150,123.0,4350.0,22,25,31600.0,five_six,sedan
72,3,mercedes-benz,gas,std,two,convertible,rwd,front,9660,18030,7050,5080,3685,ohcv,eight,234,mpfi,3.46,3.1,830,155.0,4750.0,16,18,35056.0,eight_twelve,hardtop_convert
74,1,mercedes-benz,gas,std,two,hardtop,rwd,front,11200,19920,7200,5540,3715,ohcv,eight,304,mpfi,3.8,3.35,800,184.0,4500.0,14,16,45400.0,eight_twelve,hardtop_convert
75,1,mercury,gas,turbo,two,hatchback,rwd,front,10270,17840,6800,5480,2910,ohc,four,140,mpfi,3.78,3.12,800,175.0,5000.0,19,24,16503.0,three_four,hatchback
76,2,mitsubishi,gas,std,two,hatchback,fwd,front,9370,15730,6440,5080,1918,ohc,four,92,2bbl,2.97,3.23,940,68.0,5500.0,37,41,5389.0,three_four,hatchback
77,2,mitsubishi,gas,std,two,hatchback,fwd,front,9370,15730,6440,5080,1944,ohc,four,92,2bbl,2.97,3.23,940,68.0,5500.0,31,38,6189.0,three_four,hatchback
78,2,mitsubishi,gas,std,two,hatchback,fwd,front,9370,15730,6440,5080,2004,ohc,four,92,2bbl,2.97,3.23,940,68.0,5500.0,31,38,6669.0,three_four,hatchback
79,1,mitsubishi,gas,turbo,two,hatchback,fwd,front,93,15730,6380,5080,2145,ohc,four,98,spdi,3.03,3.39,760,102.0,5500.0,24,30,7689.0,three_four,hatchback
80,3,mitsubishi,gas,turbo,two,hatchback,fwd,front,9630,17300,6540,4940,2370,ohc,four,110,spdi,3.17,3.46,750,116.0,5500.0,23,30,9959.0,three_four,hatchback
81,3,mitsubishi,gas,std,two,hatchback,fwd,front,9630,17300,6540,4940,2328,ohc,four,122,2bbl,3.35,3.46,850,88.0,5000.0,25,32,8499.0,three_four,hatchback
82,3,mitsubishi,gas,turbo,two,hatchback,fwd,front,9590,17320,6630,5020,2833,ohc,four,156,spdi,3.58,3.86,700,145.0,5000.0,19,24,12629.0,three_four,hatchback
83,3,mitsubishi,gas,turbo,two,hatchback,fwd,front,9590,17320,6630,5020,2921,ohc,four,156,spdi,3.59,3.86,700,145.0,5000.0,19,24,14869.0,three_four,hatchback
84,3,mitsubishi,gas,turbo,two,hatchback,fwd,front,9590,17320,6630,5020,2926,ohc,four,156,spdi,3.59,3.86,700,145.0,5000.0,19,24,14489.0,three_four,hatchback
85,1,mitsubishi,gas,std,four,sedan,fwd,front,9630,17240,6540,5160,2365,ohc,four,122,2bbl,3.35,3.46,850,88.0,5000.0,25,32,6988.68,three_four,sedan
86,1,mitsubishi,gas,std,four,sedan,fwd,front,9630,17240,6540,5160,2405,ohc,four,122,2bbl,3.35,3.46,850,88.0,5000.0,25,32,8189.0,three_four,sedan
87,1,mitsubishi,gas,turbo,four,sedan,fwd,front,9630,17240,6540,5160,2403,ohc,four,110,spdi,3.17,3.46,750,116.0,5500.0,23,30,9279.0,three_four,sedan
88,-1,mitsubishi,gas,std,four,sedan,fwd,front,9630,17240,6540,5160,2403,ohc,four,110,spdi,3.17,3.46,750,116.0,5500.0,23,30,9279.0,three_four,sedan
89,1,nissan,gas,std,two,sedan,fwd,front,9450,16530,6380,5450,1889,ohc,four,97,2bbl,3.15,3.29,940,69.0,5200.0,31,37,5499.0,three_four,sedan
90,1,nissan,diesel,std,two,sedan,fwd,front,9450,16530,6380,5450,2017,ohc,four,103,idi,2.99,3.47,2190,55.0,4800.0,45,50,7099.0,three_four,sedan
91,1,nissan,gas,std,two,sedan,fwd,front,9450,16530,6380,5450,1918,ohc,four,97,2bbl,3.15,3.29,940,69.0,5200.0,31,37,6649.0,three_four,sedan
92,1,nissan,gas,std,four,sedan,fwd,front,9450,16530,6380,5450,1938,ohc,four,97,2bbl,3.15,3.29,940,69.0,5200.0,31,37,6849.0,three_four,sedan
93,1,nissan,gas,std,four,wagon,fwd,front,9450,17020,6380,5350,2024,ohc,four,97,2bbl,3.15,3.29,940,69.0,5200.0,31,37,7349.0,three_four,wagon
94,1,nissan,gas,std,two,sedan,fwd,front,9450,16530,6380,5450,1951,ohc,four,97,2bbl,3.15,3.29,940,69.0,5200.0,31,37,7299.0,three_four,sedan
95,1,nissan,gas,std,two,hatchback,fwd,front,9450,16560,6380,5330,2028,ohc,four,97,2bbl,3.15,3.29,940,69.0,5200.0,31,37,7799.0,three_four,hatchback
96,1,nissan,gas,std,four,sedan,fwd,front,9450,16530,6380,5450,1971,ohc,four,97,2bbl,3.15,3.29,940,69.0,5200.0,31,37,7499.0,three_four,sedan
97,1,nissan,gas,std,four,wagon,fwd,front,9450,17020,6380,5350,2037,ohc,four,97,2bbl,3.15,3.29,940,69.0,5200.0,31,37,7999.0,three_four,wagon
98,2,nissan,gas,std,two,hardtop,fwd,front,9510,16240,6380,5330,2008,ohc,four,97,2bbl,3.15,3.29,940,69.0,5200.0,31,37,8249.0,three_four,hardtop_convert
99,0,nissan,gas,std,four,hatchback,fwd,front,9720,17340,6520,5470,2324,ohc,four,120,2bbl,3.33,3.47,850,97.0,5200.0,27,34,8949.0,three_four,hatchback
100,0,nissan,gas,std,four,sedan,fwd,front,9720,17340,6520,5470,2302,ohc,four,120,2bbl,3.33,3.47,850,97.0,5200.0,27,34,9549.0,three_four,sedan
101,0,nissan,gas,std,four,sedan,fwd,front,10040,18170,6650,5510,3095,ohcv,six,181,mpfi,3.43,3.27,900,152.0,5200.0,17,22,13499.0,five_six,sedan
102,0,nissan,gas,std,four,wagon,fwd,front,10040,18460,6650,5610,3296,ohcv,six,181,mpfi,3.43,3.27,900,152.0,5200.0,17,22,14399.0,five_six,wagon
103,0,nissan,gas,std,four,sedan,fwd,front,10040,18460,6650,5510,3060,ohcv,six,181,mpfi,3.43,3.27,900,152.0,5200.0,19,25,13499.0,five_six,sedan
104,3,nissan,gas,std,two,hatchback,rwd,front,9130,17070,6790,4970,3071,ohcv,six,181,mpfi,3.43,3.27,900,160.0,5200.0,19,25,17199.0,five_six,hatchback
105,3,nissan,gas,turbo,two,hatchback,rwd,front,9130,17070,6790,4970,3139,ohcv,six,181,mpfi,3.43,3.27,780,200.0,5200.0,17,23,19699.2,five_six,hatchback
106,1,nissan,gas,std,two,hatchback,rwd,front,9920,17850,6790,4970,3139,ohcv,six,181,mpfi,3.43,3.27,900,160.0,5200.0,19,25,18399.0,five_six,hatchback
107,0,peugot,gas,std,four,sedan,rwd,front,10790,18670,6840,5670,3020,l,four,120,mpfi,3.46,3.19,840,97.0,5000.0,19,24,11900.0,three_four,sedan
108,0,peugot,diesel,turbo,four,sedan,rwd,front,10790,18670,6840,5670,3197,l,four,152,idi,3.7,3.52,2100,95.0,4150.0,28,33,13200.0,three_four,sedan
109,0,peugot,gas,std,four,wagon,rwd,front,11420,19890,6840,5870,3230,l,four,120,mpfi,3.46,3.19,840,97.0,5000.0,19,24,12440.0,three_four,wagon
110,0,peugot,diesel,turbo,four,wagon,rwd,front,11420,19890,6840,5870,3430,l,four,152,idi,3.7,3.52,2100,95.0,4150.0,25,25,13860.0,three_four,wagon
111,0,peugot,gas,std,four,sedan,rwd,front,10790,18670,6840,5670,3075,l,four,120,mpfi,3.46,2.19,840,95.0,5000.0,19,24,15580.0,three_four,sedan
112,0,peugot,diesel,turbo,four,sedan,rwd,front,10790,18670,6840,5670,3252,l,four,152,idi,3.7,3.52,2100,95.0,4150.0,28,33,16900.0,three_four,sedan
113,0,peugot,gas,std,four,wagon,rwd,front,11420,19890,6840,5670,3285,l,four,120,mpfi,3.46,2.19,840,95.0,5000.0,19,24,16695.0,three_four,wagon
114,0,peugot,diesel,turbo,four,wagon,rwd,front,11420,19890,6840,5870,3485,l,four,152,idi,3.7,3.52,2100,95.0,4150.0,25,25,17075.0,three_four,wagon
115,0,peugot,gas,std,four,sedan,rwd,front,10790,18670,6840,5670,3075,l,four,120,mpfi,3.46,3.19,840,97.0,5000.0,19,24,16630.0,three_four,sedan
116,0,peugot,diesel,turbo,four,sedan,rwd,front,10790,18670,6840,5670,3252,l,four,152,idi,3.7,3.52,2100,95.0,4150.0,28,33,17950.0,three_four,sedan
117,0,peugot,gas,turbo,four,sedan,rwd,front,10800,18670,6830,5600,3130,l,four,134,mpfi,3.61,3.21,700,142.0,5600.0,18,24,18150.0,three_four,sedan
118,1,plymouth,gas,std,two,hatchback,fwd,front,9370,15730,6380,5080,1918,ohc,four,90,2bbl,2.97,3.23,940,68.0,5500.0,37,41,5572.0,three_four,hatchback
119,1,plymouth,gas,turbo,two,hatchback,fwd,front,9370,15730,6380,5080,2128,ohc,four,98,spdi,3.03,3.39,760,102.0,5500.0,24,30,7957.0,three_four,hatchback
120,1,plymouth,gas,std,four,hatchback,fwd,front,9370,15730,6380,5060,1967,ohc,four,90,2bbl,2.97,3.23,940,68.0,5500.0,31,38,6229.0,three_four,hatchback
121,1,plymouth,gas,std,four,sedan,fwd,front,9370,16730,6380,5080,1989,ohc,four,90,2bbl,2.97,3.23,940,68.0,5500.0,31,38,6692.0,three_four,sedan
122,1,plymouth,gas,std,four,sedan,fwd,front,9370,16730,6380,5080,2191,ohc,four,98,2bbl,2.97,3.23,940,68.0,5500.0,31,38,7609.0,three_four,sedan
123,-1,plymouth,gas,std,four,wagon,fwd,front,10330,17460,6460,5980,2535,ohc,four,122,2bbl,3.35,3.46,850,88.0,5000.0,24,30,8921.0,three_four,wagon
124,3,plymouth,gas,turbo,two,hatchback,rwd,front,9590,17320,6630,5020,2818,ohc,four,156,spdi,3.59,3.86,700,145.0,5000.0,19,24,12764.0,three_four,hatchback
125,3,porsche,gas,std,two,hatchback,rwd,front,9450,16890,6830,5020,2778,ohc,four,151,mpfi,3.94,3.11,950,143.0,5500.0,19,27,22018.0,three_four,hatchback
126,3,porsche,gas,std,two,hardtop,rwd,rear,8950,16890,6500,5160,2756,ohcf,six,194,mpfi,3.74,2.9,950,207.0,5900.0,17,25,32528.0,five_six,hardtop_convert
127,3,porsche,gas,std,two,hardtop,rwd,rear,8950,16890,6500,5160,2756,ohcf,six,194,mpfi,3.74,2.9,950,207.0,5900.0,17,25,34028.0,five_six,hardtop_convert
128,3,porsche,gas,std,two,convertible,rwd,rear,8950,16890,6500,5160,2800,ohcf,six,194,mpfi,3.74,2.9,950,207.0,5900.0,17,25,37028.0,five_six,hardtop_convert
132,3,saab,gas,std,two,hatchback,fwd,front,9910,18660,6650,5610,2658,ohc,four,121,mpfi,3.54,3.07,931,110.0,5250.0,21,28,11850.0,three_four,hatchback
133,2,saab,gas,std,four,sedan,fwd,front,9910,18660,6650,5610,2695,ohc,four,121,mpfi,3.54,3.07,930,110.0,5250.0,21,28,12170.0,three_four,sedan
134,3,saab,gas,std,two,hatchback,fwd,front,9910,18660,6650,5610,2707,ohc,four,121,mpfi,2.54,2.07,930,110.0,5250.0,21,28,15040.0,three_four,hatchback
135,2,saab,gas,std,four,sedan,fwd,front,9910,18660,6650,5610,2758,ohc,four,121,mpfi,3.54,3.07,930,110.0,5250.0,21,28,15510.0,three_four,sedan
136,3,saab,gas,turbo,two,hatchback,fwd,front,9910,18660,6650,5610,2808,dohc,four,121,mpfi,3.54,3.07,900,160.0,5500.0,19,26,18150.0,three_four,hatchback
137,2,saab,gas,turbo,four,sedan,fwd,front,9910,18660,6650,5610,2847,dohc,four,121,mpfi,3.54,3.07,900,160.0,5500.0,19,26,18620.0,three_four,sedan
138,2,subaru,gas,std,two,hatchback,fwd,front,9370,15690,6340,5370,2050,ohcf,four,97,2bbl,3.62,2.36,900,69.0,4900.0,31,36,5118.0,three_four,hatchback
139,2,subaru,gas,std,two,hatchback,fwd,front,9370,15790,6360,5370,2120,ohcf,four,108,2bbl,3.62,2.64,870,73.0,4400.0,26,31,7053.0,three_four,hatchback
140,2,subaru,gas,std,two,hatchback,4wd,front,9330,15730,6380,5570,2240,ohcf,four,108,2bbl,3.62,2.64,870,73.0,4400.0,26,31,7603.0,three_four,hatchback
141,0,subaru,gas,std,four,sedan,fwd,front,9720,17200,6540,5250,2145,ohcf,four,108,2bbl,3.62,2.64,950,82.0,4800.0,32,37,7126.0,three_four,sedan
142,0,subaru,gas,std,four,sedan,fwd,front,9720,17200,6540,5250,2190,ohcf,four,108,2bbl,3.62,2.64,950,82.0,4400.0,28,33,7775.0,three_four,sedan
143,0,subaru,gas,std,four,sedan,fwd,front,9720,17200,6540,5250,2340,ohcf,four,108,mpfi,3.62,2.64,900,94.0,5200.0,26,32,9960.0,three_four,sedan
144,0,subaru,gas,std,four,sedan,4wd,front,9700,17200,6540,5430,2385,ohcf,four,108,2bbl,3.62,2.64,900,82.0,4800.0,24,25,9233.0,three_four,sedan
145,0,subaru,gas,turbo,four,sedan,4wd,front,9700,17200,6540,5430,2510,ohcf,four,108,mpfi,3.62,2.64,770,111.0,4800.0,24,29,11259.0,three_four,sedan
146,0,subaru,gas,std,four,wagon,fwd,front,9700,17350,6540,5300,2290,ohcf,four,108,2bbl,3.62,2.64,900,82.0,4800.0,28,32,7463.0,three_four,wagon
147,0,subaru,gas,std,four,wagon,fwd,front,9700,17350,6540,5300,2455,ohcf,four,108,mpfi,3.62,2.64,900,94.0,5200.0,25,31,10198.0,three_four,wagon
148,0,subaru,gas,std,four,wagon,4wd,front,9690,17360,6540,5490,2420,ohcf,four,108,2bbl,3.62,2.64,900,82.0,4800.0,23,29,8013.0,three_four,wagon
149,0,subaru,gas,turbo,four,wagon,4wd,front,9690,17360,6540,5490,2650,ohcf,four,108,mpfi,3.62,2.64,770,111.0,4800.0,23,23,11694.0,three_four,wagon
150,1,toyota,gas,std,two,hatchback,fwd,front,9570,15870,6360,5450,1985,ohc,four,92,2bbl,3.05,3.03,900,62.0,4800.0,35,39,5348.0,three_four,hatchback
151,1,toyota,gas,std,two,hatchback,fwd,front,9570,15870,6360,5450,2040,ohc,four,92,2bbl,3.05,3.03,900,62.0,4800.0,31,38,6338.0,three_four,hatchback
152,1,toyota,gas,std,four,hatchback,fwd,front,9570,15870,6360,5450,2015,ohc,four,92,2bbl,3.05,3.03,900,62.0,4800.0,31,38,6488.0,three_four,hatchback
153,0,toyota,gas,std,four,wagon,fwd,front,9570,16970,6360,5910,2280,ohc,four,92,2bbl,3.05,3.03,900,62.0,4800.0,31,37,6918.0,three_four,wagon
154,0,toyota,gas,std,four,wagon,4wd,front,9570,16970,6360,5910,2290,ohc,four,92,2bbl,3.05,3.03,900,62.0,4800.0,27,32,7898.0,three_four,wagon
155,0,toyota,gas,std,four,wagon,4wd,front,9570,16970,6360,5910,3110,ohc,four,92,2bbl,3.05,3.03,900,62.0,4800.0,27,32,8778.0,three_four,wagon
156,0,toyota,gas,std,four,sedan,fwd,front,9570,16630,6440,5300,2081,ohc,four,98,2bbl,3.19,3.03,900,70.0,4800.0,30,37,6938.0,three_four,sedan
157,0,toyota,gas,std,four,hatchback,fwd,front,9570,16630,6440,5280,2109,ohc,four,98,2bbl,3.19,3.03,900,70.0,4800.0,30,37,7198.0,three_four,hatchback
158,0,toyota,diesel,std,four,sedan,fwd,front,9570,16630,6440,5300,2275,ohc,four,110,idi,3.27,3.35,2250,56.0,4500.0,34,36,7898.0,three_four,sedan
159,0,toyota,diesel,std,four,hatchback,fwd,front,9570,16630,6440,5280,2275,ohc,four,110,idi,3.27,3.35,2250,56.0,4500.0,38,47,7788.0,three_four,hatchback
160,0,toyota,gas,std,four,sedan,fwd,front,9570,16630,6440,5300,2094,ohc,four,98,2bbl,3.19,3.03,900,70.0,4800.0,38,47,7738.0,three_four,sedan
161,0,toyota,gas,std,four,hatchback,fwd,front,9570,16630,6440,5280,2122,ohc,four,98,2bbl,3.19,3.03,900,70.0,4800.0,28,34,8358.0,three_four,hatchback
162,0,toyota,gas,std,four,sedan,fwd,front,9570,16630,6440,5280,2140,ohc,four,98,2bbl,3.19,3.03,900,70.0,4800.0,28,34,9258.0,three_four,sedan
163,1,toyota,gas,std,two,sedan,rwd,front,9450,16870,6400,5260,2169,ohc,four,98,2bbl,3.19,3.03,900,70.0,4800.0,29,34,8058.0,three_four,sedan
164,1,toyota,gas,std,two,hatchback,rwd,front,9450,16870,6400,5260,2204,ohc,four,98,2bbl,3.19,3.03,900,70.0,4800.0,29,34,8238.0,three_four,hatchback
165,1,toyota,gas,std,two,sedan,rwd,front,9450,16870,6400,5260,2265,dohc,four,98,mpfi,3.24,3.08,940,112.0,6600.0,26,29,9298.0,three_four,sedan
166,1,toyota,gas,std,two,hatchback,rwd,front,9450,16870,6400,5260,2300,dohc,four,98,mpfi,3.24,3.08,940,112.0,6600.0,26,29,9538.0,three_four,hatchback
167,2,toyota,gas,std,two,hardtop,rwd,front,9840,17620,6560,5200,2540,ohc,four,146,mpfi,3.62,3.5,930,116.0,4800.0,24,30,8449.0,three_four,hardtop_convert
168,2,toyota,gas,std,two,hardtop,rwd,front,9840,17620,6560,5200,2536,ohc,four,146,mpfi,3.62,3.5,930,116.0,4800.0,24,30,9639.0,three_four,hardtop_convert
